mean,std,median,D,xmin,alpha
3.431672254,9.68498834,1,0.009577133,15,2.572844269
3.49034036,12.47479442,1,0.006785028,7,2.583333136
3.411813171,9.928180887,1,0.006096981,7,2.646696999
3.576339565,16.84510137,1,0.010351832,15,2.52063691
3.54270129,12.6215476,1,0.006193717,7,2.565735799
3.504119552,12.19375804,1,0.008859099,7,2.584525727
3.556281607,13.0447311,1,0.007045373,11,2.54351313
3.44317859,9.798941698,1,0.007558403,7,2.585448584
3.631712029,18.53205742,1,0.010973309,7,2.619291344
3.574578101,14.25127778,1,0.005213881,7,2.527023834
3.583129723,16.90375474,1,0.007100259,8,2.542558679
3.550997216,17.72624082,1,0.008953497,8,2.547208089
3.49315302,9.524524688,1,0.008164856,7,2.584517744
3.603358145,19.22560196,1,0.006647951,7,2.545263155
3.580345474,15.2728283,1,0.008330611,7,2.574258138
3.59830104,16.56925588,1,0.008613463,7,2.57857271
3.551281323,12.30570798,1,0.006510922,7,2.563587483
3.503522927,10.49742048,1,0.009454483,9,2.574962754
3.529149383,12.20045325,1,0.011540681,8,2.565953994
3.487669754,12.37605882,1,0.005790057,7,2.579926043
3.429115291,11.95499193,1,0.006772218,7,2.606625922
3.640803455,16.51316197,1,0.013743239,11,2.517503352
3.429797148,11.16455089,1,0.008388348,9,2.603404887
3.541309165,14.62104938,1,0.007589259,8,2.586521897
3.521506904,17.45929916,1,0.007725355,7,2.595563946
3.563014944,12.13416735,1,0.006571887,8,2.553551432
3.439456787,11.05694069,1,0.009046394,7,2.591317621
3.432695039,10.2709335,1,0.007127255,7,2.584329342
3.466276493,12.401795,1,0.006837342,7,2.568376845
3.455878175,10.7338322,1,0.006291179,7,2.573330882
3.531479061,13.60030974,1,0.009961912,7,2.586061391
3.576453208,17.21559193,1,0.012230888,7,2.593414057
3.579805671,19.16714465,1,0.007015319,7,2.569685528
3.506875391,10.73764146,1,0.009026283,7,2.563748297
3.461276209,15.71591613,1,0.006671542,7,2.606515838
3.525001421,16.06961946,1,0.013653235,7,2.580853116
3.448718677,10.64496462,1,0.010932637,7,2.58250671
3.573470084,14.96890683,1,0.00484569,9,2.567785209
3.510994943,16.26526762,1,0.005835789,7,2.610275437
3.50644923,12.33493784,1,0.009005009,8,2.543150254
3.478578328,10.60235577,1,0.007652486,9,2.54322248
3.519546565,14.04437624,1,0.009578724,7,2.574926317
3.36746406,8.058696434,1,0.005144345,7,2.62696183
3.56648105,15.95817087,1,0.008723939,8,2.557655466
3.510369907,11.29784145,1,0.010858506,7,2.593461832
3.459798852,13.48182081,1,0.009056669,7,2.612647942
3.400505711,11.66421438,1,0.008764729,7,2.637592423
3.472754134,11.15056567,1,0.008271963,7,2.599747422
3.621881925,17.26758735,1,0.008963386,7,2.565511038
3.520285243,11.91157381,1,0.006902844,8,2.569455674
3.451673391,12.30705893,1,0.008838082,7,2.567905161
3.580004546,12.8545432,1,0.007378208,8,2.536163829
3.525569635,15.20077433,1,0.008237751,7,2.612397468
3.529461901,14.61734093,1,0.01100478,7,2.596945619
3.511080175,14.26394065,1,0.009146675,10,2.584715264
3.528694812,13.72008833,1,0.007363462,13,2.579552419
3.463463833,11.4982273,1,0.008170639,8,2.625401954
3.563043355,11.41267002,2,0.009403451,8,2.524616158
3.463975226,15.40362668,1,0.010237434,9,2.619974739
3.533212114,11.63526848,2,0.009476584,8,2.564586327
3.463662708,11.12806226,1,0.008409757,7,2.57802888
3.590147167,21.96772596,1,0.013974964,7,2.612421494
3.393118927,8.422567245,1,0.010205336,10,2.632728584
3.619893176,14.19189747,2,0.008022404,10,2.519761253
3.543809307,17.13679528,1,0.006696508,7,2.555528853
3.577220297,14.9589772,1,0.007841487,7,2.568002385
3.453491676,12.54066556,1,0.010887045,7,2.596449339
3.577958975,14.26537506,1,0.008632488,7,2.565061166
3.495255412,10.82444236,1,0.014058869,7,2.590657854
3.542985397,12.92993007,1,0.007710562,7,2.57357316
3.477555543,11.66835034,1,0.006089548,9,2.61418121
3.514858799,16.38139052,1,0.017535999,7,2.63248857
3.39885789,8.818647874,1,0.005687556,7,2.602071194
3.44883232,11.79302025,2,0.008664508,7,2.607614337
3.5668788,17.87426496,1,0.008852781,7,2.556922161
3.431132451,11.49035245,1,0.008089522,7,2.602650267
3.554321268,13.21251643,1,0.006268991,8,2.557645227
3.446246946,12.31730955,1,0.009525072,7,2.616514006
3.436445253,13.52947689,1,0.008343433,7,2.57877117
3.499460197,12.06126929,2,0.006376472,7,2.605926123
3.368287971,9.350959728,1,0.007554618,8,2.652300141
3.494431502,12.47294294,1,0.007163137,8,2.551440091
3.513978067,10.55843263,2,0.006528726,7,2.592728559
3.442809251,9.909231177,1,0.009425544,7,2.596952402
3.655946361,19.56488555,1,0.015045393,7,2.556687292
3.408006137,10.08810782,1,0.009084754,7,2.603301897
3.570572192,16.61793468,1,0.011323449,8,2.576537728
3.538837434,16.70454526,1,0.009897226,7,2.600483221
3.40613103,10.37085414,1,0.007641199,8,2.583298369
3.610148304,17.20600991,1,0.008914342,9,2.5697368
3.536138417,11.97523527,1,0.008972051,8,2.562566763
3.577788511,17.53128795,1,0.008515942,7,2.586796514
3.45809421,12.51292608,1,0.008187945,7,2.600919201
3.571026763,17.18783328,1,0.006625359,7,2.55025038
3.50684698,17.42883043,1,0.009632481,7,2.582831604
3.60798909,14.50497546,1,0.009617687,10,2.524403022
3.578271493,18.62017119,1,0.009812422,7,2.590497649
3.487754986,15.06990381,1,0.005796931,7,2.604736499
3.434115575,9.073458687,1,0.004685767,7,2.560705552
