mean,std,median,D,xmin,lambda,beta
3.320586397,5.938173471,2,0.028661995,10,0.688347597,0.472818692
3.278169214,5.841577302,1,0.02162338,31,0.02652982,1.697904856
3.239473834,5.700691422,1,0.023027893,35,0.033415535,1.428871682
3.279845446,5.730265528,1,0.030407556,22,0.066230584,0.940633143
3.280754588,5.909712327,1,0.018833425,31,0.025934721,1.688510441
3.273623501,5.876553953,1,0.029551856,30,0.031316856,1.453305704
3.303142224,5.91919438,1,0.017220549,31,0.040596449,1.212612482
3.285073016,5.871349259,1,0.026317661,46,0.065818889,1.002085596
3.267969771,5.806760231,1,0.021521324,28,0.034021656,1.378842763
3.277487357,5.860328557,1,0.01912154,31,0.036351844,1.258372198
3.304250241,5.956441659,1,0.018629321,34,0.031528991,1.494273573
3.275015626,5.798807433,1,0.017053556,24,0.046189885,1.135817322
3.302431956,5.941839856,1,0.02500926,10,1.162178315,0.43336622
3.205807148,5.56264688,1,0.023084913,36,0.04193826,1.230919166
3.30297176,6.065833661,1,0.023192542,41,0.027225114,1.5943178
3.275754304,5.853184953,1,0.023956049,24,0.049933669,1.061376484
3.27882266,5.941419126,1,0.014120075,31,0.031884886,1.391191601
3.28970396,5.840559382,1,0.020284176,29,0.030691614,1.485071669
3.277458947,5.692387117,1,0.022324294,42,0.033417754,1.445959556
3.299249957,5.94659405,1,0.02190258,31,0.029768552,1.529453335
3.352264333,6.044993135,1,0.028432798,29,0.024741833,1.883597439
3.28765839,5.977514496,1,0.02381259,29,0.028877042,1.511003266
3.264276379,5.862163033,1,0.018316615,36,0.044827753,1.155023928
3.260043184,5.809637195,1,0.021613908,45,0.029925008,1.578056431
3.223762714,5.757771302,1,0.030749542,10,1.081388869,0.439464419
3.297687369,5.8262014,1,0.027582418,29,0.034875916,1.351746557
3.247741349,5.5752952,1,0.023187785,30,0.030578318,1.60923002
3.215353145,5.616429612,1,0.027427373,17,0.135498912,0.727271555
3.335558839,5.841655773,2,0.021020199,31,0.032233643,1.505105841
3.243081993,5.753522628,1,0.018800165,31,0.030718596,1.544680299
3.318569237,5.952190535,1,0.023034948,10,0.386236845,0.542532881
3.246462867,5.602058522,1,0.021421526,28,0.039318735,1.299762635
3.275356554,5.784663719,1,0.020554514,29,0.032823138,1.429242252
3.292431388,6.049643585,1,0.024491583,31,0.035588694,1.21998502
3.286436729,5.970518096,1,0.024504419,10,0.875049998,0.452852445
3.256918007,5.736648305,1,0.020583205,33,0.077279752,0.887100828
3.316864595,6.091385542,1,0.023661609,10,1.024416498,0.437161082
3.24296835,5.732686043,1,0.023117402,44,0.029313413,1.568122245
3.227825445,5.662903118,1,0.025142043,43,0.041319695,1.2775013
3.315983863,5.992100477,1,0.02156184,29,0.031716298,1.433517883
3.285016194,6.141809404,1,0.020359751,39,0.022260643,1.829677232
3.288169782,5.807297386,1,0.027309733,17,0.133035042,0.717378687
3.245212796,5.829291556,1,0.027796274,10,0.86695038,0.457507222
3.253679186,5.616020555,1,0.020088219,10,0.492127552,0.525091647
3.244474118,5.868865723,1,0.023695494,10,1.769108026,0.4034748
3.262912665,5.714704721,1,0.022237144,30,0.029133001,1.649227125
3.300017046,5.942088985,2,0.02281888,10,0.909344934,0.448966946
3.257827149,5.644297542,1,0.020722924,28,0.029739957,1.611756921
3.346553781,6.037745021,1,0.018851814,37,0.040202465,1.194061305
3.260781863,5.827777355,1,0.022838869,10,0.729881217,0.475463018
3.20788113,5.538115026,1,0.024699535,10,0.53377491,0.514522158
3.26510029,5.722877862,1,0.018796389,28,0.040841468,1.220223319
3.307233366,6.030830638,1,0.022721625,10,0.687250142,0.472321685
3.244360475,5.870942002,1,0.024067917,10,1.093365155,0.43703013
3.294761066,6.005742971,1,0.023511378,32,0.025351816,1.784486714
3.32516052,5.965922932,1,0.026244957,31,0.028347853,1.58426786
3.292743906,5.879265131,1,0.026589771,30,0.030646935,1.501916059
3.303028581,6.004950647,1,0.021477917,38,0.023346293,1.865237896
3.279362464,5.903753952,2,0.022553638,48,0.081803634,0.893638403
3.287090176,5.894829812,1,0.025785765,24,0.048231696,1.087345543
