mean,std,median,D,xmin,alpha
4.197624865,4.744178059,2,0.008792461,16,6.260664459
4.250241491,4.764503199,2,0.010146983,17,6.705741815
4.209045969,4.754946763,2,0.007847989,16,6.281387047
4.227569748,4.760844372,2,0.008896921,15,6.660775361
4.197312347,4.758246274,2,0.007737446,15,6.357709443
4.193420081,4.759322486,2,0.013522666,15,6.412393822
4.189982385,4.730532306,2,0.011038278,15,6.493126374
4.173220069,4.708307496,2,0.016048612,15,6.604124295
4.18211262,4.728057474,2,0.005049387,15,6.486037571
4.193334849,4.754580831,2,0.007746685,16,6.140356259
4.197681686,4.71514423,2,0.009944599,17,6.545367466
4.158503324,4.690339166,2,0.014303696,16,6.539946047
4.213421217,4.735551082,2,0.01741875,15,6.54330193
4.266890164,4.814257908,2,0.013898527,15,6.466750564
4.224643446,4.768672106,2,0.015947398,15,6.49139681
4.179811353,4.722538978,2,0.015828805,15,6.603686197
4.19861924,4.726103542,2,0.014168997,15,6.489771135
4.189669868,4.722757924,2,0.008492006,15,6.522529971
4.188845957,4.717449022,2,0.008088436,15,6.610934196
4.178816978,4.737361809,2,0.013141254,17,6.177130675
4.224586624,4.705774775,2,0.015341319,16,6.807211537
4.175890676,4.745611317,2,0.012005233,15,6.489350528
4.263026308,4.828559487,2,0.014881997,15,6.42405143
4.214699699,4.809037326,2,0.012070811,15,6.417597787
4.243962725,4.789192274,2,0.011057413,17,6.250711484
4.226916302,4.732453872,2,0.017815099,15,6.559140439
4.218506733,4.738267109,2,0.011328133,15,6.55836233
4.177140747,4.7100138,2,0.007734766,16,6.439532181
4.210125575,4.746820036,2,0.009706171,15,6.453203857
4.192482527,4.740983921,2,0.016908664,15,6.651832743
4.25220183,4.786421443,2,0.008841043,16,6.275386235
4.213705324,4.741719686,2,0.013333743,18,6.665555902
4.202028524,4.730321459,2,0.008374747,18,6.445489663
4.205153702,4.739457529,2,0.017686649,16,6.268733278
4.258452185,4.810157741,2,0.007300873,15,6.236882988
4.207028808,4.729054024,2,0.012901158,16,6.694360379
4.230013069,4.729466834,2,0.011040428,15,6.546845591
4.220523893,4.745085152,2,0.007495525,15,6.552487332
4.209472129,4.730328027,2,0.015957149,21,6.63373092
4.188760725,4.744455177,2,0.015852481,21,6.395469352
4.205324166,4.762562593,2,0.016751931,15,6.346246463
4.160264788,4.670703474,2,0.009743354,15,6.678112074
4.216035002,4.765717697,2,0.008357036,15,6.368470121
4.177254389,4.729302522,2,0.011430829,15,6.400836186
4.203591113,4.775204277,2,0.011113808,18,5.956779104
4.212995057,4.744581833,2,0.008567647,15,6.554121691
4.237286209,4.767329752,2,0.010816183,17,6.573234521
4.218734019,4.734183571,2,0.016782185,18,6.306858754
4.196289562,4.72618284,2,0.006380537,16,6.60414117
4.225041196,4.800007484,2,0.009342377,16,6.186680216
4.176316836,4.766011314,2,0.012113367,17,6.040933661
4.196289562,4.725834169,2,0.012788545,16,6.664244271
4.219415876,4.734596088,2,0.012324822,15,6.520415906
4.209188022,4.69494056,2,0.013830477,15,6.6609644
4.240184101,4.743160383,2,0.010181112,15,6.533009152
4.255611114,4.782285634,2,0.014160037,21,6.968923354
4.22643332,4.769448289,2,0.013774602,17,6.448057627
4.173788283,4.73906293,2,0.013746103,15,6.476890791
4.222029661,4.780136271,2,0.007825512,15,6.326356819
4.187425422,4.737062027,2,0.009485491,16,6.350123463
4.206176487,4.773251539,2,0.008814166,17,6.191318087
4.205153702,4.781407258,2,0.011637785,17,6.100725474
4.177708961,4.684310478,2,0.012428655,15,6.557084691
4.199357918,4.719756162,2,0.011706549,16,6.537115071
4.194556509,4.713002149,2,0.0117941,15,6.35237213
4.245979885,4.80735861,2,0.019711437,21,6.479872677
4.189158475,4.710906616,2,0.012464859,15,6.695421351
4.188220922,4.733646644,2,0.011721418,17,6.234192072
4.235865674,4.78411083,2,0.0108055,15,6.321890061
4.200863685,4.742514666,2,0.01354237,17,6.272674991
4.222455821,4.778764116,2,0.018311457,15,6.316327769
4.178788568,4.714732534,2,0.007072946,15,6.358766864
4.166429911,4.698897395,2,0.009946574,15,6.400948903
4.203534292,4.78507289,2,0.009824411,15,6.146976243
4.204869595,4.732877289,2,0.008311158,15,6.613830308
4.183362691,4.710599016,2,0.010076956,16,6.640662063
4.201772828,4.750771914,2,0.00847679,16,6.486250859
4.196914597,4.761766329,2,0.009300736,15,6.304068314
4.215182681,4.742863047,2,0.013686007,16,6.562952011
4.182538781,4.704647291,2,0.009935223,15,6.542906086
4.175919086,4.696586118,2,0.013880519,17,6.275346997
4.198789704,4.721657838,2,0.013662153,15,6.316491679
4.173987158,4.714891071,2,0.005438463,18,6.565533265
4.206971987,4.731044638,2,0.011451337,15,6.647402369
4.222484232,4.852224812,2,0.016575206,15,6.409975062
4.192027956,4.703423945,2,0.009352605,15,6.666768663
4.188107279,4.694234899,2,0.00848936,15,6.588707043
4.195749759,4.711517805,2,0.00907811,15,6.585658363
4.22441616,4.76867685,2,0.01123149,15,6.517517449
4.206631059,4.744773435,2,0.010000466,16,6.219419943
4.238791977,4.837286383,2,0.008140829,15,6.193182178
4.181998977,4.725272873,2,0.013503012,15,6.648723227
4.188249332,4.703615956,2,0.009961026,15,6.511633835
4.199187454,4.770154626,2,0.01643728,15,6.367886812
4.208932326,4.719272788,2,0.014590354,17,6.864195082
